APPL_ID,ACC_DATE,Riparian,Pre1914
S025110,08/04/2015,Y,
S025005,07/16/2015,Y,
S023968,12/19/2013,Y,
S024869,06/15/2015,Y,Y
S025237,10/21/2015,Y,
S024224,01/21/2014,Y,
S024200,01/21/2014,Y,Y
S020244,03/20/2014,Y,Y
S024596,09/05/2014,Y,Y
S024206,01/21/2014,Y,Y
S024848,05/15/2015,Y,
S024976,07/14/2015,Y,
S025138,08/07/2015,Y,
S025827,10/10/2016,Y,
S025683,08/18/2016,Y,
S025950,12/16/2016,Y,
S025643,08/15/2016,Y,
S025469,05/16/2016,Y,Y
S025574,08/01/2016,Y,Y
S025881,11/02/2016,Y,
S025500,06/15/2016,Y,
S026079,03/10/2017,Y,
S025362,02/11/2016,Y,
S025838,10/11/2016,Y,
S028282,12/13/2019,Y,
S026807,08/11/2017,Y,
S027794,07/16/2018,Y,
S028002,10/19/2018,Y,Y
S027051,08/29/2017,Y,
S028139,05/23/2019,Y,
S027172,09/08/2017,Y,
S026713,08/07/2017,Y,
S028062,12/28/2018,Y,Y
S026198,06/13/2017,Y,
S027347,09/26/2017,Y,
S026206,06/13/2017,Y,
S028209,08/16/2019,Y,
S027299,09/19/2017,Y,
S027680,04/30/2018,Y,Y
S027988,10/15/2018,Y,Y
S026369,07/14/2017,Y,
S026517,07/27/2017,Y,
S026555,07/28/2017,Y,
S026865,08/17/2017,Y,
S026093,04/26/2017,Y,
S027541,11/15/2017,Y,
S026710,08/07/2017,Y,
S027317,09/22/2017,Y,
S027483,11/01/2017,Y,
S026386,07/17/2017,Y,
S026853,08/17/2017,Y,
S000236,01/30/1967,Y,
S000239,01/30/1967,Y,
S001471,01/01/1967,Y,Y
S002039,01/01/1967,Y,
S002062,01/01/1967,Y,
S002116,06/30/1967,Y,
S010080,06/24/1980,Y,
S010120,08/06/1980,Y,
S010268,01/21/1981,Y,
S012757,01/14/1986,Y,
S012882,01/14/1986,Y,
S002253,01/01/1967,Y,
S002446,07/03/1967,Y,
S002449,07/03/1967,Y,
S002451,07/03/1967,Y,
S002555,01/01/1967,Y,
S010717,12/15/1981,Y,
S013262,09/18/1989,Y,
S002956,01/01/1967,Y,Y
S013546,10/26/1990,Y,Y
S002977,01/01/1967,Y,
S003046,01/01/1967,Y,
S011212,09/03/1983,Y,
S011214,09/03/1983,Y,
S013570,01/09/1991,Y,
S013597,03/25/1991,Y,
S013632,03/25/1991,Y,
S013673,03/25/1991,Y,
S013732,09/10/1991,Y,
S000449,03/30/1967,Y,Y
S000614,04/28/1967,Y,
S000701,05/24/1967,Y,
S003225,01/01/1967,Y,
S015461,01/06/2004,Y,
S015473,01/08/2004,Y,
S015582,10/19/2004,Y,
S000772,05/31/1967,Y,
S000781,06/05/1967,Y,
S004107,01/01/1968,Y,
S004159,01/01/1968,Y,
S004211,01/01/1968,Y,
S011531,11/19/1984,Y,
S015702,09/11/2003,Y,
S001091,01/01/1967,Y,
S004239,01/01/1967,Y,
S011721,12/11/1984,Y,
S011730,12/11/1984,Y,
S011755,12/11/1984,Y,
S011765,12/11/1984,Y,
S011881,12/11/1984,Y,
S013919,08/03/1992,Y,Y
S015964,03/30/2006,Y,
S015982,12/28/2006,Y,
