"","APPL_ID"
"395","S004162"
"396","F003300C"
"397","F027403"
"398","S001421"
"399","A010841"
"400","A028009"
"401","S004109"
"402","A018636"
"403","A028263"
"404","S012341"
"405","S008016"
"406","A019610"
"407","S013633"
"408","S016492"
"409","A028186"
"410","S016735"
"411","S016219"
"412","S013971"
"413","S008096"
"414","A012118"
"415","S016573"
"416","S004190"
"417","S001910"
"418","A015598"
"419","A016332"
"420","S002049"
"421","A019862"
"422","F003477C"
"423","C002521"
"424","C004652"
"425","C000338"
"426","D030839R"
"427","S016212"
"428","S018967"
"429","S016154"
"430","S016224"
"431","A020485"
"432","A013667B"
"433","A031698"
"434","A031707"
"435","A027915"
"436","A002548"
"437","A015665"
"438","A027947"
"439","C002234"
"440","A019795"
"441","A031558"
"442","C000881"
"443","A030049B"
"444","A009728"
"445","A026024"
"446","S014736"
"447","S008814"
"448","S004461"
"449","S012949"
"450","C004553"
"451","A014649"
"452","S015321"
"453","A000763"
"454","A024824"
"455","A020313"
"456","A020823"
"457","A020383"
"458","S004674"
"459","A021158"
"460","C000962"
"461","S000550"
"462","A008631"
"463","A011954"
"464","A012429"
"465","A015761"
"466","A019609"
"467","S013612"
"468","S000932"
"469","C000673"
"470","C000685"
"471","F008169S"
"472","F003276C"
"473","S010597"
"474","A020933"
"475","S009910"
"476","S011338"
"477","F007541S"
"478","C004334"
"479","A016924"
"480","A028474"
"481","A026098"
"482","F006967S"
"483","C000200"
"484","A016516"
"485","A015879"
"486","A024857"
"487","A024857"
"488","A007988H"
"489","S007791"
"490","S008966"
"491","A011382"
"492","A017872"
"493","A023550"
"494","A014428"
"495","A010502"
"496","A022130"
"497","A006702"
"498","A028680"
"499","A008179"
"500","S008280"
"501","A022928"
"502","A017236"
"503","A027815"
"504","A025514"
"505","A025660"
"506","A005625"
"507","A013687"
"508","A021099"
"509","F008516S"
"510","C003630"
"511","C001912"
"512","F008325S"
"513","A017434"
"514","S005254"
"515","A024517"
"516","S011042"
"517","S005228"
"518","A011562"
"519","S006543"
"520","C001067"
"521","A015057"
"522","A014708"
"523","C001521"
"524","A027677"
"525","A011042"
"526","A016156"
"527","D031527R"
"528","C003067"
"529","A019317B"
"530","C000868"
"531","A019280"
"532","A029101"
"533","A026780"
"534","D031639R"
"535","A010821"
"536","A012462"
"537","A001769"
"538","A001413"
"539","A021616"
"540","A026491"
"541","S008870"
"542","A024143"
"543","C002734"
"544","A016566"
"545","A015777"
"546","A029258"
"547","S015943"
"548","A015462"
"549","A029513"
"550","S002098"
"551","A007013"
"552","A023185"
"553","S014211"
"554","A027555"
"555","C003038"
"556","A027207"
"557","A017191"
"558","A028216"
"559","A030415"
"560","A020898"
"561","S001271"
"562","S009461"
"563","F003428S"
"564","C003918"
"565","S013714"
"566","A021157B"
"567","A012622"
"568","A016401"
"569","S001599"
"570","A020011"
"571","A025381"
"572","A012999"
"573","F004738S"
"574","S009260"
"575","A029404"
"576","L031625"
"577","C005423"
"578","A028087"
"579","C004547"
"580","C004492"
"581","F008527S"
"582","A008187"
"583","C000016"
"584","A020376"
"585","A001976"
"586","S016279"
"587","F007569S"
"588","A015100"
"589","S016193"
"590","S016203"
"591","C000675"
"592","S004134"
"593","A012342A"
"594","A024331"
"595","A023941"
"596","A010553"
"597","S003209"
"598","A030473"
"599","A013371"
"600","C003964"
"601","S004322"
"602","A012025"
"603","A023795"
"604","A028555"
"605","A026619"
"606","A018965"
"607","S003600"
"608","A000244"
"609","A021102"
"610","S001377"
"611","S010780"
"612","F003468C"
"613","S000959"
"614","S012231"
"615","A026746"
"616","A015205"
"617","S015012"
"618","A011901"
"619","A005632"
"620","S010930"
"621","A023833"
"622","S009926"
"623","A019553"
"624","A025891"
"625","C004260"
"626","S020972"
"627","S016818"
"628","S019791"
"629","S018434"
"630","S020235"
"631","S021224"
"632","S021234"
"633","S021865"
"634","S021239"
"635","S021253"
"636","A012073A"
"637","S013684"
"638","A018780B"
"639","S012364"
"640","A019033"
"641","A009886"
"642","S009563"
"643","S009929"
"644","A030273"
"645","S012389"
"646","S001320"
"647","S001357"
"648","A022674"
"649","S001344"
"650","S012387"
"651","A005626"
"652","C001275"
"653","A025883"
"654","A012622"
"655","S014987"
"656","A009120"
"657","A000882A"
"658","A012397"
"659","F003315C"
"660","A021297"
"661","A030358A"
"662","A000596"
"663","S001467"
"664","S016418"
"665","A002878"
"666","S009595"
"667","S000394"
"668","A003617"
"669","A011977"
"670","A007150"
"671","A014019"
"672","C000074"
"673","C001602"
"674","S017274"
"675","A006540"
"676","S020765"
"677","S020317"
"678","A026116"
"679","C004376"
"680","A028094"
"681","C004289"
"682","A030557"
"683","S012842"
"684","A027928"
"685","S019510"
"686","S021041"
"687","S019461"
"688","S019748"
"689","S019326"
"690","S018925"
"691","S019149"
"692","S021106"
"693","S019807"
"694","S021031"
"695","S020880"
"696","S020107"
"697","S017670"
"698","C005441"
"699","S016980"
"700","A030853"
"701","S010473"
"702","S016464"
